from_HexID,to_HexID,Month,TimeIndex,OriginType,DestinationType,Energy_kWh_day,Energy_kWh_annual,AnnualNetValue_SEK,Coeff_SEK_per_kWh_annualized_excl_distance,Yarc,Trips_day,Tail_kWh_day,DeltaPrice_SEK_per_kWh,PriceComp_SEK_annual
207,225,January,17,fast,medium,2.4289160147915254,75.29639645853729,259.1642983925628,147.819625,1.0,0.0,2.4289160147915254,0.0,0.0
208,187,January,17,fast,medium,0.4048582995951417,12.550607287449392,40.01369973009447,147.819625,1.0,0.0,0.4048582995951417,0.0,0.0
210,190,January,17,fast,fast,6.302169103370682,195.36724220449113,690.4646281146202,163.319625,1.0,0.0,6.302169103370682,0.0,0.0
221,220,January,17,fast,fast,0.6634575820531694,20.56718504364825,69.22232340721388,163.319625,1.0,0.0,0.6634575820531694,0.0,0.0
222,223,January,17,fast,fast,2.405343641647974,74.5656528910872,231.4419687629707,163.319625,1.0,0.0,2.405343641647974,0.0,0.0
226,241,January,17,fast,medium,0.8954989030324114,27.760465994004754,90.13827934997677,147.819625,1.0,0.0,0.8954989030324114,0.0,0.0
254,255,January,17,fast,medium,1.8945589626779338,58.73132784301595,172.97325539568325,147.819625,1.0,0.0,1.8945589626779338,0.0,0.0
272,253,January,17,fast,medium,0.6542454080935443,20.281607650899872,62.635857921671175,147.819625,1.0,0.0,0.6542454080935443,0.0,0.0
298,274,January,17,fast,slow,11.357745243643421,352.09010255294606,962.2863097675429,132.319625,1.0,0.4920103149219159,1.5175389452051042,0.0,0.0
298,274,January,17,fast,medium,57.89534701385901,1794.7557574296293,5802.568005413417,147.819625,1.0,2.5079896850780843,7.735553312297327,0.0,0.0
299,275,January,17,fast,fast,3.3581981330993926,104.10414212608117,333.24863689431623,163.319625,1.0,0.0,3.3581981330993926,0.0,0.0
300,275,January,17,fast,fast,17.14636049513973,531.5371753493316,1871.6921107093867,163.319625,1.0,0.0,17.14636049513973,0.0,0.0
313,312,January,17,fast,medium,9.098330830988512,282.0482557606439,894.9621494694103,147.819625,1.0,0.0,9.098330830988512,0.0,0.0
320,319,January,17,fast,fast,7.027900624233311,217.86491935123263,805.3162509980951,163.319625,1.0,0.0,7.027900624233311,0.0,0.0
326,302,January,17,fast,medium,6.87363022576389,213.08253699868058,715.2559276312794,147.819625,1.0,0.0,6.87363022576389,0.0,0.0
338,337,January,17,fast,medium,7.782998944244099,241.27296727156707,763.5264004034195,147.819625,1.0,0.0,7.782998944244099,0.0,0.0
366,367,January,17,fast,fast,1.8115305823822068,56.15744805384841,196.28010850160962,163.319625,1.0,0.0,1.8115305823822068,0.0,0.0
374,348,January,17,fast,medium,1.5476351557812862,47.97668982921987,136.13425719615998,147.819625,1.0,0.0,1.5476351557812862,0.0,0.0
398,426,January,17,fast,fast,3.3746130030959747,104.61300309597522,331.59410252837966,163.319625,1.0,0.0,3.3746130030959747,0.0,0.0
403,375,January,17,fast,medium,6.467043928628112,200.47836178747147,571.8875820103679,147.819625,1.0,0.0,6.467043928628112,0.0,0.0
408,407,January,17,fast,medium,2.6507104218386246,82.17202307699736,283.39610576829466,147.819625,1.0,0.0,2.6507104218386246,0.0,0.0
415,416,January,17,fast,medium,1.172131147540977,36.336065573770284,115.70232952185727,147.819625,1.0,0.0,1.172131147540977,0.0,0.0
458,457,January,17,fast,fast,3.0637850616290194,94.9773369104996,335.9185362096008,163.319625,1.0,0.0,3.0637850616290194,0.0,0.0
549,533,January,17,fast,medium,3.0251572327043768,93.77987421383568,288.46579898322614,147.819625,1.0,0.0,3.0251572327043768,0.0,0.0
