HexID,Month,TimeIndex,DestinationType,W_in_kWh_day,W_in_kWh_annual,E_public_by_dest_type_kWh_day,E_public_by_dest_type_kWh_annual
29,December,29,medium,0.0,0.0,1.3472102754639508,41.763518539382474
29,December,29,fast,0.0,0.0,25.0,775.0
29,December,30,slow,0.0,0.0,0.0,0.0
29,December,30,medium,0.0,0.0,25.937928337195594,804.0757784530634
29,December,30,fast,0.0,0.0,0.0,0.0
29,December,31,slow,0.0,0.0,0.0,0.0
29,December,31,medium,0.0,0.0,85.83805236833393,2660.979623418352
29,December,31,fast,0.0,0.0,0.0,0.0
29,December,32,slow,0.0,0.0,0.0,0.0
29,December,32,medium,0.0,0.0,25.574700770361716,792.8157238812132
29,December,32,fast,0.0,0.0,25.0,775.0
29,December,33,slow,0.0,0.0,0.0,0.0
29,December,33,medium,0.0,0.0,67.630087976028,2096.532727256868
29,December,33,fast,0.0,0.0,25.0,775.0
29,December,34,slow,0.0,0.0,0.0,0.0
29,December,34,medium,0.0,0.0,64.35536958994743,1995.0164572883702
29,December,34,fast,0.0,0.0,0.0,0.0
29,December,35,slow,0.0,0.0,0.0,0.0
29,December,35,medium,0.0,0.0,27.890049400037086,864.5915314011496
29,December,35,fast,0.0,0.0,25.0,775.0
29,December,36,slow,0.0,0.0,0.0,0.0
29,December,36,medium,0.0,0.0,0.0,0.0
29,December,36,fast,0.0,0.0,3.0350536354046103,94.08666269754292
29,December,37,slow,0.0,0.0,0.0,0.0
29,December,37,medium,0.0,0.0,0.0,0.0
29,December,37,fast,0.0,0.0,0.0,0.0
29,December,38,slow,0.0,0.0,0.0,0.0
29,December,38,medium,0.0,0.0,0.0,0.0
29,December,38,fast,0.0,0.0,0.0,0.0
29,December,39,slow,0.0,0.0,0.0,0.0
29,December,39,medium,0.0,0.0,0.0,0.0
29,December,39,fast,0.0,0.0,0.0,0.0
29,December,40,slow,0.0,0.0,0.0,0.0
29,December,40,medium,0.0,0.0,0.0,0.0
29,December,40,fast,0.0,0.0,15.721278842074888,487.35964410432155
29,December,41,slow,0.0,0.0,0.0,0.0
29,December,41,medium,0.0,0.0,47.28324365340838,1465.7805532556597
29,December,41,fast,0.0,0.0,0.0,0.0
29,December,42,slow,0.0,0.0,0.0,0.0
29,December,42,medium,0.0,0.0,5.104143407026804,158.22844561783091
29,December,42,fast,0.0,0.0,25.0,775.0
29,December,43,slow,0.0,0.0,0.0,0.0
29,December,43,medium,0.0,0.0,23.237172424455263,720.3523451581132
29,December,43,fast,0.0,0.0,0.0,0.0
29,December,44,slow,0.0,0.0,0.0,0.0
29,December,44,medium,0.0,0.0,0.0,0.0
29,December,44,fast,0.0,0.0,19.77410298615365,612.9971925707632
29,December,45,slow,0.0,0.0,0.0,0.0
29,December,45,medium,0.0,0.0,0.0,0.0
29,December,45,fast,0.0,0.0,1.3800586868810367,42.78181929331214
29,December,46,slow,0.0,0.0,0.0,0.0
29,December,46,medium,0.0,0.0,0.0,0.0
29,December,46,fast,0.0,0.0,0.0,0.0
29,December,47,slow,0.0,0.0,0.0,0.0
29,December,47,medium,0.0,0.0,0.0,0.0
29,December,47,fast,0.0,0.0,0.0,0.0
29,December,48,slow,0.0,0.0,0.0,0.0
29,December,48,medium,0.0,0.0,0.0,0.0
29,December,48,fast,0.0,0.0,0.0,0.0
30,January,1,slow,0.0,0.0,0.0,0.0
30,January,1,medium,0.0,0.0,0.0,0.0
30,January,1,fast,0.0,0.0,0.0,0.0
30,January,2,slow,0.0,0.0,0.0,0.0
30,January,2,medium,0.0,0.0,0.0,0.0
30,January,2,fast,0.0,0.0,0.0,0.0
30,January,3,slow,0.0,0.0,0.0,0.0
30,January,3,medium,0.0,0.0,0.0,0.0
30,January,3,fast,0.0,0.0,0.0,0.0
30,January,4,slow,0.0,0.0,0.0,0.0
30,January,4,medium,0.0,0.0,0.0,0.0
30,January,4,fast,0.0,0.0,0.0,0.0
30,January,5,slow,0.0,0.0,0.0,0.0
30,January,5,medium,0.0,0.0,0.0,0.0
30,January,5,fast,0.0,0.0,0.0,0.0
30,January,6,slow,0.0,0.0,0.0,0.0
30,January,6,medium,0.0,0.0,0.0,0.0
30,January,6,fast,0.0,0.0,0.0,0.0
30,January,7,slow,0.0,0.0,0.0,0.0
30,January,7,medium,0.0,0.0,0.0,0.0
30,January,7,fast,0.0,0.0,0.0,0.0
30,January,8,slow,0.0,0.0,0.0,0.0
30,January,8,medium,0.0,0.0,0.0,0.0
30,January,8,fast,0.0,0.0,0.0,0.0
30,January,9,slow,0.0,0.0,0.0,0.0
30,January,9,medium,0.0,0.0,0.0,0.0
30,January,9,fast,0.0,0.0,0.0,0.0
30,January,10,slow,0.0,0.0,0.0,0.0
30,January,10,medium,0.0,0.0,0.0,0.0
30,January,10,fast,0.0,0.0,0.0,0.0
30,January,11,slow,0.0,0.0,0.0,0.0
30,January,11,medium,0.0,0.0,0.0,0.0
30,January,11,fast,0.0,0.0,2.1567126084737116,66.85809086268506
30,January,12,slow,0.0,0.0,0.0,0.0
30,January,12,medium,0.0,0.0,0.0,0.0
30,January,12,fast,0.0,0.0,11.272584946264464,349.45013333419837
30,January,13,slow,0.0,0.0,0.0,0.0
30,January,13,medium,0.0,0.0,0.0,0.0
30,January,13,fast,0.0,0.0,32.541703328574016,1008.7928031857945
30,January,14,slow,0.0,0.0,0.0,0.0
30,January,14,medium,0.0,0.0,0.0,0.0
30,January,14,fast,0.0,0.0,42.281309360678236,1310.7205901810253
30,January,15,slow,0.0,0.0,0.0,0.0
30,January,15,medium,0.0,0.0,4.549195979895707,141.02507537676692
30,January,15,fast,0.0,0.0,50.0,1550.0
30,January,16,slow,0.0,0.0,0.0,0.0
30,January,16,medium,0.0,0.0,33.0,1023.0
