Month,TimeIndex,G_kWh_day,R_kWh_day,W_kWh_day,ThetaType_master_SEK,TypeAssignmentCost_reconstructed_SEK
March,25,12.867692049063656,12.867692049063656,12.867692049063656,0.0,0.0
March,26,17.838353918686167,17.838353918686167,17.838353918686167,0.0,0.0
March,27,34.671162011782826,34.671162011782826,34.671162011782826,0.0,0.0
March,28,95.98769530847017,95.98769530847015,95.98769530847017,0.0,0.0
March,29,27.800658778008128,27.800658778008128,27.800658778008128,0.0,0.0
March,30,33.615522560125775,33.615522560125775,33.615522560125775,0.0,0.0
March,31,35.78786398664047,35.78786398664047,35.78786398664047,0.0,0.0
March,32,0.0,0.0,0.0,0.0,0.0
March,33,36.82508125462197,36.82508125462197,36.82508125462197,0.0,0.0
March,34,32.854284780796114,32.854284780796114,32.854284780796114,0.0,0.0
March,35,35.574785649499,35.574785649499,35.574785649499,0.0,0.0
March,36,20.0,20.0,20.0,0.0,0.0
March,37,2.5,2.5,2.5,0.0,0.0
March,38,1.0576889802427878,1.0576889802427871,1.0576889802427878,0.0,0.0
March,39,2.0740279286661547,2.0740279286661547,2.0740279286661547,0.0,0.0
March,40,0.0,0.0,0.0,0.0,0.0
March,41,0.0,0.0,0.0,0.0,0.0
March,42,0.0,0.0,0.0,0.0,0.0
March,43,0.0,0.0,0.0,0.0,0.0
March,44,0.0,0.0,0.0,0.0,0.0
March,45,0.0,0.0,0.0,0.0,0.0
March,46,0.0,0.0,0.0,0.0,0.0
March,47,0.0,0.0,0.0,0.0,0.0
March,48,0.0,0.0,0.0,0.0,0.0
April,1,0.0,0.0,0.0,0.0,0.0
April,2,1.002375122423004,1.002375122423004,1.002375122423004,0.0,0.0
April,3,4.5378469389302865,4.5378469389302865,4.5378469389302865,0.0,0.0
April,4,4.3568892443349725,4.3568892443349725,4.3568892443349725,0.0,0.0
April,5,0.0,0.0,0.0,0.0,0.0
April,6,0.0,0.0,0.0,0.0,0.0
April,7,0.0,0.0,0.0,0.0,0.0
April,8,0.0,0.0,0.0,0.0,0.0
April,9,0.0,0.0,0.0,0.0,0.0
April,10,0.0,0.0,0.0,0.0,0.0
April,11,0.9929400000000003,0.9929400000000003,0.9929400000000003,0.0,0.0
April,12,0.0,0.0,0.0,0.0,0.0
April,13,13.572185432761833,13.572185432761833,13.572185432761833,0.0,0.0
April,14,8.028540684501884,8.028540684501884,8.028540684501884,0.0,0.0
April,15,16.265814396484345,16.265814396484345,16.26581439648435,0.0,0.0
