iteration,Month,TimeIndex,cut_type,rhs_at_current_SEK,theta_at_current_SEK,violation_SEK,nonzeros,positive_type_arcs,dual_termination,exactness,selection_rule
1,May,25,corepoint_lp_dual_upper_cut,0.0,1363551.804750231,1363551.804750231,1457,10188,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,August,29,corepoint_lp_dual_upper_cut,0.0,1361787.9206116516,1361787.9206116516,1387,9378,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,November,16,corepoint_lp_dual_upper_cut,0.0,1360650.3485132027,1360650.3485132027,1520,10278,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,May,20,corepoint_lp_dual_upper_cut,0.0,1360480.9976815516,1360480.9976815516,1531,10368,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,July,24,corepoint_lp_dual_upper_cut,0.0,1359247.8751005977,1359247.8751005977,1480,10026,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,August,30,corepoint_lp_dual_upper_cut,0.0,1358392.6688193849,1358392.6688193849,1334,8910,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,June,28,corepoint_lp_dual_upper_cut,0.0,1358273.7294138984,1358273.7294138984,1384,9396,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,October,23,corepoint_lp_dual_upper_cut,0.0,1357376.37813701,1357376.37813701,1416,9900,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,August,21,corepoint_lp_dual_upper_cut,0.0,1355253.6666418682,1355253.6666418682,1473,9756,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,July,23,corepoint_lp_dual_upper_cut,0.0,1347905.0147104142,1347905.0147104142,1416,9900,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,March,16,corepoint_lp_dual_upper_cut,0.0,1342550.903546598,1342550.903546598,1521,10278,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,September,26,corepoint_lp_dual_upper_cut,0.0,1342078.9912432001,1342078.9912432001,1438,10350,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,September,29,corepoint_lp_dual_upper_cut,0.0,1341244.1561142586,1341244.1561142586,1387,9378,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,May,34,corepoint_lp_dual_upper_cut,0.0,1340591.477231151,1340591.477231151,1367,9504,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,September,30,corepoint_lp_dual_upper_cut,0.0,1337900.1246714853,1337900.1246714853,1335,8910,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,April,33,corepoint_lp_dual_upper_cut,0.0,1337613.5017623391,1337613.5017623391,1353,9414,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,August,25,corepoint_lp_dual_upper_cut,0.0,1334663.5448578862,1334663.5448578862,1458,10188,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,December,28,corepoint_lp_dual_upper_cut,0.0,1333823.4391157036,1333823.4391157036,1387,9396,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,October,35,corepoint_lp_dual_upper_cut,0.0,1331274.8886040018,1331274.8886040018,1382,9414,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
