iteration,Month,TimeIndex,cut_type,rhs_at_current_SEK,theta_at_current_SEK,violation_SEK,nonzeros,positive_type_arcs,dual_termination,exactness,selection_rule
1,March,19,corepoint_lp_dual_upper_cut,0.0,1487998.106103379,1487998.106103379,1535,10404,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,March,18,corepoint_lp_dual_upper_cut,0.0,1484883.679426526,1484883.679426526,1595,10854,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,October,34,corepoint_lp_dual_upper_cut,0.0,1479860.0631776731,1479860.0631776731,1365,9504,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,March,28,corepoint_lp_dual_upper_cut,0.0,1478000.8402390112,1478000.8402390112,1387,9396,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,December,16,corepoint_lp_dual_upper_cut,0.0,1474396.1605783824,1474396.1605783824,1519,10278,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,September,19,corepoint_lp_dual_upper_cut,0.0,1473759.7516137476,1473759.7516137476,1537,10404,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,October,26,corepoint_lp_dual_upper_cut,0.0,1470824.714554349,1470824.714554349,1438,10350,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,April,28,corepoint_lp_dual_upper_cut,0.0,1470326.2002077533,1470326.2002077533,1388,9396,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,July,34,corepoint_lp_dual_upper_cut,0.0,1470064.8280015853,1470064.8280015853,1367,9504,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,April,20,corepoint_lp_dual_upper_cut,0.0,1463875.4559657788,1463875.4559657788,1532,10368,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
