from_HexID,to_HexID,Month,TimeIndex,OriginType,DestinationType,Energy_kWh_day,Energy_kWh_annual,AnnualNetValue_SEK,Coeff_SEK_per_kWh_annualized_excl_distance,Yarc,Trips_day,Tail_kWh_day,DeltaPrice_SEK_per_kWh,PriceComp_SEK_annual
197,196,January,16,medium,medium,1.1105985249696495,34.42855427405914,133.69336362349296,149.346375,1.0,0.0,1.1105985249696495,0.0,0.0
208,186,January,16,fast,medium,0.6599561231480555,20.45863981758972,67.54484721470001,149.346375,1.0,0.0,0.6599561231480555,0.0,0.0
208,226,January,16,fast,medium,1.435185577256803,44.49075289496089,149.87622173101923,149.346375,1.0,0.0,1.435185577256803,0.0,0.0
244,261,January,16,fast,medium,4.3061816629038,133.4916315500178,423.5171076579545,149.346375,1.0,0.0,4.3061816629038,0.0,0.0
255,274,January,16,fast,medium,2.5610364717364575,79.39213062383018,256.00243928067687,149.346375,1.0,0.0,2.5610364717364575,0.0,0.0
298,274,January,16,fast,medium,2.1760839263225193,67.4586017159981,221.420605153452,149.346375,1.0,0.0,2.1760839263225193,0.0,0.0
324,323,January,16,medium,medium,20.330489437253533,630.2451725548596,1783.223044087066,149.346375,1.0,1.0,0.33048943725353297,0.0,0.0
366,367,January,16,fast,fast,5.267778753292363,163.30114135206324,578.8086479367868,164.846375,1.0,0.0,5.267778753292363,0.0,0.0
401,402,January,16,fast,fast,4.145155957933532,128.4998346959395,451.9902443864943,164.846375,1.0,0.0,4.145155957933532,0.0,0.0
403,375,January,16,fast,medium,0.70997871597055,22.00934019508705,63.86813398521628,149.346375,1.0,0.0,0.70997871597055,0.0,0.0
415,416,January,16,fast,medium,1.1721311475409841,36.33606557377051,117.49188075136615,149.346375,1.0,0.0,1.1721311475409841,0.0,0.0
439,438,January,16,fast,fast,1.2435689299487365,38.55063682841083,154.15056820498634,164.846375,1.0,0.0,1.2435689299487365,0.0,0.0
459,432,January,16,fast,fast,7.134174143495109,221.15939844834838,802.6961936732932,164.846375,1.0,0.0,7.134174143495109,0.0,0.0
484,457,January,16,fast,medium,0.4252585040410394,13.18301362527222,38.24372478171034,149.346375,1.0,0.0,0.4252585040410394,0.0,0.0
484,458,January,16,fast,medium,0.7991950730414317,24.77504726428438,80.52018365303289,149.346375,1.0,0.0,0.7991950730414317,0.0,0.0
549,533,January,16,fast,medium,2.474842767295599,76.72012578616356,239.76867804507353,149.346375,1.0,0.0,2.474842767295599,0.0,0.0
566,567,January,16,fast,medium,2.1635150166852055,67.06896551724137,192.53968591954023,149.346375,1.0,0.0,2.1635150166852055,0.0,0.0
572,588,January,16,fast,medium,0.5034201739536321,15.606025392562596,48.98312609044031,149.346375,1.0,0.0,0.5034201739536321,0.0,0.0
95,94,January,17,medium,medium,11.0,341.0,916.3766883333334,147.819625,1.0,0.0,11.0,0.0,0.0
95,94,January,17,medium,fast,6.774145238652597,209.9985023982305,564.3335254623169,147.819625,1.0,0.0,6.774145238652597,0.5,104.99925119911525
95,96,January,17,medium,medium,3.60872210730669,111.87038532650739,323.6188371231628,147.819625,1.0,0.0,3.60872210730669,0.0,0.0
97,96,January,17,fast,medium,14.73315061285818,456.7276689986036,1287.5952262491382,147.819625,1.0,0.0,14.73315061285818,0.0,0.0
