HexID,Month,DemandClass,RepresentativeDayDemand_kWh,RepresentativeDaySlack_kWh,AnnualSlack_kWh,SlackShare
17,June,public,2859.9999999999986,0.0,0.0,0.0
17,July,home,1160.539850631778,0.0,0.0,0.0
17,July,public,2859.9999999999986,0.0,0.0,0.0
17,August,home,1160.539850631778,0.0,0.0,0.0
17,August,public,2859.9999999999986,0.0,0.0,0.0
17,September,home,1160.539850631778,0.0,0.0,0.0
17,September,public,2859.9999999999986,0.0,0.0,0.0
17,October,home,1160.539850631778,0.0,0.0,0.0
17,October,public,2859.9999999999986,0.0,0.0,0.0
17,November,home,1160.539850631778,0.0,0.0,0.0
17,November,public,2859.9999999999986,0.0,0.0,0.0
17,December,home,1160.539850631778,0.0,0.0,0.0
17,December,public,2859.9999999999986,0.0,0.0,0.0
18,January,home,297.7055429143298,0.0,0.0,0.0
18,January,public,2322.5000000000005,0.0,0.0,0.0
18,February,home,297.7055429143298,0.0,0.0,0.0
18,February,public,2322.5000000000005,0.0,0.0,0.0
18,March,home,297.7055429143298,0.0,0.0,0.0
18,March,public,2322.5000000000005,0.0,0.0,0.0
18,April,home,297.7055429143298,0.0,0.0,0.0
18,April,public,2322.5000000000005,0.0,0.0,0.0
18,May,home,297.7055429143298,0.0,0.0,0.0
18,May,public,2322.5000000000005,0.0,0.0,0.0
18,June,home,297.7055429143298,0.0,0.0,0.0
18,June,public,2322.5000000000005,0.0,0.0,0.0
18,July,home,297.7055429143298,0.0,0.0,0.0
18,July,public,2322.5000000000005,0.0,0.0,0.0
18,August,home,297.7055429143298,0.0,0.0,0.0
18,August,public,2322.5000000000005,0.0,0.0,0.0
18,September,home,297.7055429143298,0.0,0.0,0.0
18,September,public,2322.5000000000005,0.0,0.0,0.0
18,October,home,297.7055429143298,0.0,0.0,0.0
18,October,public,2322.5000000000005,0.0,0.0,0.0
18,November,home,297.7055429143298,0.0,0.0,0.0
18,November,public,2322.5000000000005,0.0,0.0,0.0
18,December,home,297.7055429143298,0.0,0.0,0.0
18,December,public,2322.5000000000005,0.0,0.0,0.0
19,January,public,132.50000000000003,0.0,0.0,0.0
19,February,public,132.50000000000003,0.0,0.0,0.0
19,March,public,132.50000000000003,0.0,0.0,0.0
19,April,public,132.50000000000003,0.0,0.0,0.0
19,May,public,132.50000000000003,0.0,0.0,0.0
19,June,public,132.50000000000003,0.0,0.0,0.0
19,July,public,132.50000000000003,0.0,0.0,0.0
19,August,public,132.50000000000003,0.0,0.0,0.0
19,September,public,132.50000000000003,0.0,0.0,0.0
19,October,public,132.50000000000003,0.0,0.0,0.0
19,November,public,132.50000000000003,0.0,0.0,0.0
19,December,public,132.50000000000003,0.0,0.0,0.0
21,January,home,339.7792580411739,0.0,0.0,0.0
21,January,public,1602.5000000000002,0.0,0.0,0.0
21,February,home,339.7792580411739,0.0,0.0,0.0
21,February,public,1602.5000000000002,0.0,0.0,0.0
21,March,home,339.7792580411739,0.0,0.0,0.0
21,March,public,1602.5000000000002,0.0,0.0,0.0
21,April,home,339.7792580411739,0.0,0.0,0.0
21,April,public,1602.5000000000002,0.0,0.0,0.0
21,May,home,339.7792580411739,0.0,0.0,0.0
21,May,public,1602.5000000000002,0.0,0.0,0.0
21,June,home,339.7792580411739,0.0,0.0,0.0
21,June,public,1602.5000000000002,0.0,0.0,0.0
21,July,home,339.7792580411739,0.0,0.0,0.0
21,July,public,1602.5000000000002,0.0,0.0,0.0
21,August,home,339.7792580411739,0.0,0.0,0.0
21,August,public,1602.5000000000002,0.0,0.0,0.0
21,September,home,339.7792580411739,0.0,0.0,0.0
21,September,public,1602.5000000000002,0.0,0.0,0.0
21,October,home,339.7792580411739,0.0,0.0,0.0
